Project,Owner,Client,Medium,Tags
Performance platform,GDS,GOV.UK,Digital,Information design
Sprint event branding and collateral,GDS,GDS,Print,"Branding, Signage"
Metro Vancouver Transit maps,Applied,Translink,Print,"Information design, Mapping"
Millennium Line station signage,Applied,Translink,Print,Information design
Toronto Bus Maps,Applied,Metrolinx,Print,"Information design, Mapping"
Route map,Applied,Metrolinx,Print,"Information design, Mapping"
Regional mapping and collateral,Applied,Various,Print,"Information design, Mapping"
QEOP Strategy,Applied,London Legacy Development Corporation,Print,"Mapping, Signage"
Heathrow mapping,Applied,"British Airports Authority, Heathrow Airport","Print, Digital","Information design, Mapping"
Cycle line,Personal,Personal,Print,"Information design, Mapping, Signage"
St Petrocs Society,Personal,Personal,Print,"Information design, Branding"
